ds,yhat
2013-06-07,256.9927362347196
2013-06-08,210.53178209471787
2013-06-10,261.05521931704516
2013-06-11,251.49947904204072
2013-06-12,202.37706222065128
2013-06-13,235.7703317065876
2013-06-15,207.01437384406626
2013-06-17,260.48815146381685
2013-06-18,252.42943814477263
2013-06-20,239.53955716214747
2013-06-21,257.1528316867205
2013-06-24,268.4972896879613
2013-06-25,261.10089743409617
2013-06-26,213.93338836603368
2013-06-27,249.05025875842531
2013-06-28,266.8650833396147
2013-06-29,222.99614030339245
2013-07-02,270.69549172639955
2013-07-03,223.41420809029003
2013-07-04,258.4458649935906
2013-07-05,276.23325607550277
2013-07-08,288.0725917842025
2013-07-09,280.97959501409923
2013-07-11,269.9571926190737
2013-07-13,245.62219385799054
2013-07-15,303.2444869809371
2013-07-16,297.1564911239412
2013-07-18,287.9715689821793
2013-07-19,307.29440206177225
2013-07-20,264.93268099303236
2013-07-22,322.9404428116819
2013-07-23,316.6009149223765
2013-07-26,323.8563414582498
2013-07-29,333.2208442414553
2013-07-31,274.6171543990415
2013-08-01,306.88971214790286
2013-08-02,321.3218398905542
2013-08-03,273.5485455345775
2013-08-05,319.48180877370163
2013-08-07,253.6961583714033
2013-08-08,282.69168906650884
2013-08-09,294.1527337132542
2013-08-15,247.1892461821977
2013-08-16,259.1319014512877
2013-08-17,209.78105374112508
2013-08-18,249.7312134502757
2013-08-22,224.94641401624662
2013-08-23,240.1190557868252
2013-08-24,194.1005185119048
2013-08-27,237.83578177848537
2013-08-29,224.27826124773003
2013-08-31,197.12184940081764
2013-09-02,250.96644760853667
2013-09-03,242.45806116771433
2013-09-05,227.13690550893173
2013-09-06,242.69939188312594
2013-09-09,244.40981403767432
2013-09-10,232.67997784198369
2013-09-11,180.66930044922213
2013-09-12,210.4818024042166
2013-09-13,222.58990318790944
2013-09-16,215.1070546292053
2013-09-17,201.02711654873383
2013-09-18,147.16726406128402
2013-09-19,175.70168034967654
2013-09-20,187.15933315138852
2013-09-21,137.26762157930392
2013-09-23,181.8211186821498
2013-09-24,169.84647043989105
2013-09-25,118.7559948098561
2013-09-26,150.67958452036794
2013-09-27,166.08606737535948
2013-09-28,120.62829963924209
2013-09-30,175.14613264988475
2013-10-02,122.81976787635641
2013-10-03,160.12543927959496
2013-10-04,180.7715298871915
2013-10-07,203.6272778910933
2013-10-08,200.62079396935565
2013-10-09,157.97323415188646
2013-10-10,197.64359699250844
2013-10-11,219.94600715562902
2013-10-14,243.3592966438573
2013-10-15,239.10040332584157
2013-10-16,194.53885148629482
2013-10-18,250.9409922381964
2013-10-19,207.88851701085684
2013-10-21,262.84810887684563
2013-10-22,254.2898812563148
2013-10-23,205.3647228304369
2013-10-24,238.18890762122862
2013-10-25,253.24286150727886
2013-10-28,254.20374393451854
2013-10-29,242.77804933231403
2013-10-30,191.4625313976826
2013-10-31,222.40479225158623
2013-11-01,236.10209889151704
2013-11-04,236.09840372699168
2013-11-05,225.3038173426271
2013-11-06,175.02488856342416
2013-11-07,207.35218301321217
2013-11-08,222.7188592658092
2013-11-10,219.96781214529392
2013-11-11,228.72670633488306
2013-11-12,220.0311408235131
2013-11-13,171.7841733367889
2013-11-14,206.01481476789712
2013-11-15,223.1019669982628
2013-11-16,178.6224163743258
2013-11-17,223.0710423196181
2013-11-18,232.76895794204165
2013-11-19,224.70955678216774
2013-11-20,176.79329368523315
2013-11-21,211.05756125928036
2013-11-22,227.9000363352963
2013-11-25,235.48583622261884
2013-11-26,226.4171683873221
2013-11-27,177.42238091323958
2013-11-28,210.5926406634106
2013-12-02,231.5195929798822
2013-12-03,222.02578731404037
2013-12-04,172.84843279724134
2013-12-05,206.09747133479607
2013-12-06,222.23351658603858
2013-12-07,176.91285062900704
2013-12-09,229.99708428480136
2013-12-10,221.83983828502994
2013-12-11,174.17813409169833
2013-12-12,209.08049702727376
2013-12-13,226.96118992846957
2013-12-14,183.42677850600148
2013-12-15,228.99515113699013
2013-12-16,240.00274569370615
2013-12-17,233.44998347818282
2013-12-18,187.2357536019775
2013-12-19,223.3873136983523
2013-12-20,242.27469658675943
2013-12-23,256.70466078848347
2013-12-24,250.0374525331767
2013-12-25,203.42660661990794
2013-12-26,238.91691739804634
2013-12-27,256.91361467601837
2013-12-28,213.02917348736463
2013-12-30,267.6032094352907
2013-12-31,259.48014910539933
2014-01-01,211.38983257804847
2014-01-02,245.42642127419188
2014-01-03,262.0425586657606
2014-01-04,216.89443137984264
2014-01-08,212.02648570128267
2014-01-09,245.80502899364404
2014-01-13,270.8062239196123
2014-01-15,214.64661289110555
2014-01-16,249.07156625130648
2014-01-17,266.23412046142226
2014-01-21,266.8852470872917
2014-01-22,218.3361158502478
2014-01-23,251.7548073930617
2014-01-24,267.50180885956604
2014-01-25,221.14155740405013
2014-01-27,269.8891634871287
2014-01-29,206.37867990372365
2014-01-30,236.1224064182875
2014-01-31,247.98472305411454
2014-02-03,238.34487327742528
2014-02-06,194.18163044906822
2014-02-07,203.4591883684876
2014-02-10,190.1618248142816
2014-02-11,175.23134507391094
2014-02-12,121.14817128134791
2014-02-14,162.72667851795683
2014-02-19,111.03348232881794
2014-02-20,148.47134535058038
2014-02-21,170.06336902576226
2014-02-24,201.25646245336853
2014-02-27,212.45958821569786
2014-03-03,293.7011533965788
2014-03-04,300.0457349222608
2014-03-05,266.53694674174767
2014-03-07,345.80342104767186
2014-03-09,370.7395501722465
2014-03-10,391.49178813050867
2014-03-11,393.3948894614126
2014-03-13,396.06582493043464
2014-03-14,419.1453039073134
2014-03-17,437.34552692177175
2014-03-18,429.1083963662028
2014-03-19,379.61641272663815
2014-03-20,410.9995152319905
2014-03-21,423.7603670930644
2014-03-22,373.61841151185695
2014-03-24,413.07139235391605
2014-03-26,339.0525442211027
2014-03-27,363.4730214490713
2014-03-28,370.1464936762137
2014-03-29,314.8334448617249
2014-03-31,346.76030418669546
2014-04-01,327.64275802686547
2014-04-02,268.8980569888015
2014-04-03,292.6884276751382
2014-04-09,208.08052623937348
2014-04-12,194.24521764726188
2014-04-14,236.74267814702245
2014-04-16,171.00915438297307
2014-04-17,201.12412810704453
2014-04-18,214.30374562762935
2014-04-22,202.8532958121837
2014-04-23,152.46002174695542
2014-04-24,184.6221379269806
2014-04-25,199.7646318814586
2014-04-26,153.51625213859904
2014-04-27,196.4272956199261
2014-04-28,204.87521103071188
2014-05-01,181.66310351870186
2014-05-03,154.81687777491913
2014-05-04,199.95888348739493
2014-05-05,210.69032804211818
2014-05-06,204.03965982172488
2014-05-07,157.93209007885548
2014-05-08,194.41674332695072
2014-05-09,213.89247570670352
2014-05-10,171.95075771271178
2014-05-12,231.65131019495107
2014-05-13,226.6063372351595
2014-05-14,181.84896119957824
2014-05-15,219.3962988698898
2014-05-16,239.61794567009775
2014-05-19,257.5319720008046
2014-05-20,251.82219036795078
2014-05-21,206.05127766358902
2014-05-23,260.8286294524096
2014-05-24,217.3765913087866
2014-05-27,264.1769946227215
2014-05-28,215.86616258134362
2014-05-29,249.50707370425326
2014-05-31,219.65743209196353
2014-06-03,260.14942883713184
2014-06-04,210.21357722551915
2014-06-07,210.94971869483254
2014-06-09,261.073566857224
2014-06-11,201.86458815500316
2014-06-12,234.9634045749934
2014-06-13,250.9989632617198
2014-06-14,205.60207593275524
2014-06-16,258.5001892904234
2014-06-17,250.1814815260461
2014-06-18,202.2819981325608
2014-06-19,236.85171308231799
2014-06-20,254.29112211803596
2014-06-25,210.6630468954844
2014-06-26,245.77082825269562
2014-06-27,263.58972706036167
2014-06-28,219.73204719913994
2014-06-30,274.95850226072866
2014-07-01,267.44731002393706
2014-07-04,272.8618168763031
2014-07-07,284.35296163804276
2014-07-08,277.093462138038
2014-07-09,230.1737854136338
2014-07-10,265.6808396349966
2014-07-12,240.91744705275661
2014-07-15,291.87209445383667
2014-07-18,301.7174293218778
2014-07-19,259.36116972529084
2014-07-22,311.44081261664155
2014-07-24,301.33916958719385
2014-07-25,319.74786302933774
2014-07-27,321.04197101500756
2014-07-28,330.7359388817816
2014-07-29,322.229348555689
2014-07-30,273.4278979715164
2014-07-31,306.3777293418775
2014-08-01,321.48874386393584
2014-08-02,274.3816554549378
2014-08-04,321.55159960518665
2014-08-05,309.2833045792693
2014-08-08,297.9434364876693
2014-08-13,222.0861801415687
2014-08-14,250.7107886417144
2014-08-15,262.26644782519156
2014-08-18,256.93682992672547
2014-08-19,244.74430204641575
2014-08-20,193.2583923542898
2014-08-21,224.56802617994381
2014-08-22,239.1019906111241
2014-08-23,192.47500679225004
2014-08-28,220.59044695423847
2014-08-29,237.70652987265692
2014-08-30,193.2682279094932
2014-09-01,247.3769072047643
2014-09-02,239.15457102880816
2014-09-03,190.9218725475788
2014-09-04,224.6734465601162
2014-09-05,240.76588762648962
2014-09-06,194.76604885690446
2014-09-08,244.31735742728947
2014-09-10,181.82893323044755
2014-09-11,212.2168450394571
2014-09-12,224.84152664594467
2014-09-13,175.3716668003459
2014-09-15,218.39049472527557
2014-09-16,204.43707444245777
2014-09-17,150.57905564487055
2014-09-18,178.9854917852378
2014-09-19,190.1834516989857
2014-09-20,139.9017418683852
2014-09-22,183.30632869567552
